iso3,eu_status,eu_score,legal_basis
PRK,Article 29 High-Risk,100.0,Art. 29 Reg (EU) 2024/1624
IRN,Article 29 High-Risk,100.0,Art. 29 Reg (EU) 2024/1624
MMR,Article 29 High-Risk,100.0,Art. 29 Reg (EU) 2024/1624
AFG,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
BRB,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
BFA,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
CMR,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
CYM,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
COD,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
HTI,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
JAM,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
JOR,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
MLI,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
MOZ,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
NGA,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
PAN,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
PHL,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
SEN,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
SSD,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
SYR,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
TZA,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
TGO,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
TTO,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
VUT,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
YEM,Article 30 High-Risk,75.0,Art. 30 Reg (EU) 2024/1624
RUS,Article 31 Targeted Risk,85.0,Art. 31 Reg (EU) 2024/1624 & Annex III
VEN,Article 31 Targeted Risk,50.0,Art. 31 Reg (EU) 2024/1624
