iso3,fatf_status,fatf_score
PRK,High-Risk (Call for Action),100.0
IRN,High-Risk (Call for Action),100.0
MMR,High-Risk (Call for Action),100.0
DZA,Increased Monitoring (Grey List),60.0
AGO,Increased Monitoring (Grey List),60.0
BGR,Increased Monitoring (Grey List),60.0
BFA,Increased Monitoring (Grey List),60.0
CMR,Increased Monitoring (Grey List),60.0
CIV,Increased Monitoring (Grey List),60.0
COD,Increased Monitoring (Grey List),60.0
HTI,Increased Monitoring (Grey List),60.0
KEN,Increased Monitoring (Grey List),60.0
LBN,Increased Monitoring (Grey List),60.0
MCO,Increased Monitoring (Grey List),60.0
MOZ,Increased Monitoring (Grey List),60.0
NAM,Increased Monitoring (Grey List),60.0
NGA,Increased Monitoring (Grey List),60.0
PHL,Increased Monitoring (Grey List),60.0
SEN,Increased Monitoring (Grey List),60.0
SSD,Increased Monitoring (Grey List),60.0
SYR,Increased Monitoring (Grey List),60.0
TZA,Increased Monitoring (Grey List),60.0
VEN,Increased Monitoring (Grey List),60.0
VNM,Increased Monitoring (Grey List),60.0
YEM,Increased Monitoring (Grey List),60.0
RUS,Membership Suspended,45.0
